GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist,Accident
FALSE,Adult,Prole,Adventurous,Older,Moderate,EggShell,Economy,Poor,TwentyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,City,FALSE,TenThou,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Many,Mild
FALSE,Senior,Prole,Cautious,Current,None,Football,Economy,Normal,TwentyThou,FALSE,Normal,TRUE,Thousand,FALSE,TenThou,City,TRUE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Senior,UpperMiddle,Psychopath,Current,None,Football,FamilySedan,Excellent,Domino,TRUE,Normal,FALSE,Thousand,FALSE,TwentyThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Good,TRUE,Thousand,One,None
FALSE,Adolescent,Middle,Normal,Older,None,EggShell,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Zero,None
FALSE,Adolescent,Prole,Normal,Older,Moderate,Football,Economy,Poor,FiftyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Many,Moderate
FALSE,Adult,UpperMiddle,Normal,Current,Moderate,EggShell,SportsCar,Poor,FiftyThou,TRUE,SubStandard,FALSE,HundredThou,FALSE,TwentyThou,Suburb,TRUE,HundredThou,HundredThou,TRUE,TenThou,Poor,TRUE,Thousand,Many,Moderate
FALSE,Senior,UpperMiddle,Normal,Current,Mild,Football,Economy,Poor,FiveThou,FALSE,SubStandard,FALSE,TenThou,FALSE,TenThou,Secure,TRUE,TenThou,Thousand,FALSE,Thousand,Excellent,TRUE,Thousand,Many,Mild
FALSE,Adult,Prole,Normal,Older,Severe,EggShell,Economy,Poor,TwentyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,TenThou,City,FALSE,Million,HundredThou,TRUE,Thousand,Fair,FALSE,Thousand,Many,Severe
FALSE,Adult,Prole,Normal,Older,Severe,EggShell,Economy,Poor,TwentyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,City,FALSE,HundredThou,TenThou,FALSE,TenThou,Poor,FALSE,Thousand,Many,Severe
TRUE,Adolescent,Prole,Cautious,Older,Severe,Football,FamilySedan,Poor,TwentyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,City,TRUE,HundredThou,HundredThou,TRUE,Thousand,Good,FALSE,Thousand,Many,Severe
FALSE,Adult,Prole,Adventurous,Current,None,Football,Economy,Excellent,FiftyThou,FALSE,Expert,FALSE,Thousand,FALSE,TenThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Older,Severe,EggShell,Economy,Poor,Domino,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Poor,FALSE,HundredThou,Many,Moderate
FALSE,Adult,Prole,Normal,Older,None,Tank,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Excellent,TRUE,Thousand,One,None
FALSE,Adult,UpperMiddle,Normal,Older,None,Tank,Luxury,Normal,TwentyThou,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Suburb,TRUE,Thousand,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Zero,None
FALSE,Adult,Middle,Normal,Older,None,Football,FamilySedan,Poor,FiftyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Many,Mild
FALSE,Adult,Middle,Cautious,Current,None,Football,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Older,Moderate,EggShell,SportsCar,Poor,FiftyThou,FALSE,SubStandard,FALSE,HundredThou,FALSE,TwentyThou,City,FALSE,Million,HundredThou,FALSE,Thousand,Poor,FALSE,Thousand,Many,Moderate
FALSE,Adult,Prole,Normal,Older,None,Tank,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Rural,FALSE,TenThou,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Psychopath,Older,None,Football,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Rural,FALSE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,One,None
TRUE,Adolescent,UpperMiddle,Normal,Current,None,Football,Luxury,Normal,Domino,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Senior,UpperMiddle,Normal,Current,None,EggShell,SportsCar,Normal,TwentyThou,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Secure,FALSE,Thousand,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,Zero,None
TRUE,Adolescent,UpperMiddle,Adventurous,Older,Mild,Football,Luxury,Poor,FiftyThou,TRUE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Many,Mild
FALSE,Adult,Middle,Normal,Older,None,Football,FamilySedan,Excellent,FiftyThou,FALSE,Expert,FALSE,Thousand,FALSE,FiveThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Zero,None
FALSE,Senior,Prole,Normal,Older,Mild,EggShell,Economy,Poor,FiveThou,FALSE,SubStandard,FALSE,Thousand,FALSE,TenThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,Many,Mild
FALSE,Senior,Prole,Adventurous,Older,None,EggShell,Economy,Excellent,TwentyThou,FALSE,Expert,FALSE,Thousand,FALSE,FiveThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Senior,Prole,Cautious,Older,None,EggShell,Economy,Excellent,TwentyThou,FALSE,Expert,TRUE,Thousand,FALSE,TenThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Older,None,Football,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Suburb,FALSE,Thousand,Thousand,FALSE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Adult,Middle,Normal,Older,Mild,Tank,FamilySedan,Normal,FiveThou,FALSE,Normal,FALSE,TenThou,FALSE,TenThou,Suburb,FALSE,TenThou,Thousand,TRUE,Thousand,Excellent,FALSE,Thousand,Zero,Mild
FALSE,Adolescent,Middle,Cautious,Older,None,EggShell,Economy,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Secure,TRUE,Thousand,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Zero,None
FALSE,Adolescent,Prole,Psychopath,Older,None,EggShell,Economy,Excellent,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,One,None
FALSE,Senior,Middle,Normal,Current,None,EggShell,Economy,Normal,FiftyThou,FALSE,Normal,TRUE,Thousand,FALSE,TenThou,Suburb,TRUE,Thousand,Thousand,TRUE,Thousand,Fair,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Older,None,EggShell,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,One,None
FALSE,Adult,Middle,Adventurous,Current,Severe,Football,FamilySedan,Poor,Domino,FALSE,SubStandard,FALSE,HundredThou,FALSE,TwentyThou,Rural,FALSE,HundredThou,TenThou,FALSE,Thousand,Excellent,TRUE,Thousand,Many,Severe
FALSE,Adult,Prole,Cautious,Older,Severe,EggShell,Economy,Poor,FiftyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,City,TRUE,TenThou,Thousand,TRUE,HundredThou,Fair,FALSE,Thousand,Zero,Severe
